ServiceApprovalNumber,Provider Approval Number,ServiceName,ProviderLegalName,ServiceType,ServiceAddress,Suburb,State,Postcode,Phone,Fax,Conditions on Approval,NumberOfApprovedPlaces,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,RatingsIssued,PreviousQualityArea1Rating,PreviousQualityArea2Rating,PreviousQualityArea3Rating,PreviousQualityArea4Rating,PreviousQualityArea5Rating,PreviousQualityArea6Rating,PreviousQualityArea7Rating,PreviousOverallRating,PreviousRatingsIssued,Last Service Approval Transfer Date,Long Day Care,Preschool/Kindergarten - Part of a School,Preschool/Kindergarten - Stand alone,Outside school Hours Care - After School,Outside school Hours Care - Before School,Outside school Hours Care - Vacation Care,Other,Annual Monday Start Time,Annual Monday End Time,Annual Tuesday Start Time,Annual Tuesday End Time,Annual Wednesday Start Time,Annual Wednesday End Time,Annual Thursday Start Time,Annual Thursday End Time,Annual Friday Start Time,Annual Friday End Time,Annual Saturday Start Time,Annual Saturday End Time,Annual Sunday Start Time,Annual Sunday End Time,School Terms Only Session 1 Monday Start Time,School Terms Only Session 1 Monday End Time,School Terms Only Session 1 Tuesday Start Time,School Terms Only Session 1 Tuesday End Time,School Terms Only Session1 Wednesday Start Time,School Terms Only Session1 Wednesday End Time,School Terms Only Session1 Thursday Start Time,School Terms Only Session1 Thursday End Time,School Terms Only Session 1 Friday Start Time,School Terms Only Session 1 Friday End Time,School Terms Only Session 1 Saturday Start Time,School Terms Only Session 1 Saturday End Time,School Terms Only Session1 Sunday Start Time,School Terms Only Session 1 Sunday End Time,School Terms Only Session 2 Monday Start Time,School Terms Only Session 2 Monday End Time,School Terms Only Session 2 Tuesday Start Time,School Terms Only Session 2 Tuesday End Time,School Terms Only Session 2 Wednesday Start Time,School Terms Only Session 2 Wednesday End Time,School Terms Only Session 2 Thursday Start Time,School Terms Only Session2 Thursday End Time,School Terms Only Session 2 Friday Start Time,School Terms Only Session 2 Friday End Time,School Terms Only Session 2 Saturday Start Time,School Terms Only Session 2 Saturday End Time,School Terms Only Session 2 Sunday Start Time,School Terms Only Session 2 Sunday End Time,Holiday Care Monday Start Time,Holiday Care Monday End Time,Holiday Care Tuesday Start Time,Holiday Care Tuesday End Time,Holiday Care Wednesday Start Time,Holiday Care Wednesday End Time,Holiday Care Thursday Start Time,Holiday Care Thursday End Time,Holiday Care Friday Start Time,Holiday Care Friday End Time,Holiday Care Saturday Start Time,Holiday Care Saturday End Time,Holiday Care Sunday Start Time,Holiday Care Sunday End Time,Temporarily Closed,FullAddress,geometry,ClosestTrainStation,ClosestBusStation,DistanceToTrainStation_km,DistanceToBusStation_km
SE-40008573,PR-40009921,Buckets Early Learning Centre,Delsouth McKinnon Pty Ltd ATF Delsouth McKinnon Unit Trust,Centre-Based Care,188 Tucker Rd,BENTLEIGH,VIC,3204,0395765566,NA,The approved provider must ensure that no outdoor play equipment is placed within 1.9m of the perimeter fencing.,144,27/03/2017,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Sep 2023,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Feb 2019,NA,Yes,No,No,No,No,No,Yes,07:00:00,18:30:00,07:00:00,18:30:00,07:00:00,18:30:00,07:00:00,18:30:00,07:00:00,18:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,"188 Tucker Rd, BENTLEIGH, VIC, 3204","c(145.051746827109, -37.916738171092)",Bentleigh,Glen Waverley Station,1.3038333673651221,10.602651670264645
SE-40008583,PR-00006359,St John's Grammar School OSHC & Vacation Care,St John's Grammar School Inc,Centre-Based Care,42 Sheoak Road,BELAIR,SA,5052,0882782242,NA,NA,76,16/12/2016,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,May 2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,No,Yes,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,07:30,08:30,07:30,08:30,07:30,08:30,07:30,08:30,07:30,08:30,NA,NA,NA,NA,15:30:00,18:00:00,15:30:00,18:00:00,15:30:00,18:00:00,15:30:00,18:00:00,15:30:00,18:00:00,NA,NA,NA,NA,07:30:00,18:00:00,07:30:00,18:00:00,07:30:00,18:00:00,07:30:00,18:00:00,07:30:00,18:00:00,NA,NA,NA,NA,No,"42 Sheoak Road, BELAIR, SA, 5052","c(138.63238279644, -34.997802667784)",Belair,Blackwood Interchange,0.053816211026301,2.858031194512648
SE-40008585,PR-40026140,Tiny Kingdom Early Learning Queens Park,Austway Early Learning Pty Ltd,Centre-Based Care,227a Treasure Rd,QUEENS PARK,WA,6107,0865569423,NA,NA,35,10/03/2017,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Aug 2024,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,May 2018,10/11/2023,Yes,No,No,Yes,Yes,Yes,No,06:30:00,18:30:00,06:30:00,18:30:00,06:30:00,18:30:00,06:30:00,18:30:00,06:30:00,18:30:00,NA,NA,NA,NA,06:30,09:00,06:30,09:00,06:30,09:00,06:30,09:00,06:30,09:00,NA,NA,NA,NA,14:30:00,18:30:00,14:30:00,18:30:00,14:30:00,18:30:00,14:30:00,18:30:00,14:30:00,18:30:00,NA,NA,NA,NA,06:30:00,18:30:00,06:30:00,18:30:00,06:30:00,18:30:00,06:30:00,18:30:00,06:30:00,18:30:00,NA,NA,NA,NA,No,"227a Treasure Rd, QUEENS PARK, WA, 6107","c(115.946730000873, -31.997969980351)",Queens Park,Welshpool Bus Depot (Lost property Transperth),1.2711403998903847,1.1241785227559387
SE-40008587,PR-40022439,King's Outside School Hours Care Pimpama,KING'S CHURCH LTD,Centre-Based Care,198 Pimpama-Jacobs Well Road,PIMPAMA,QLD,4209,0755220544,NA,"This service is approved to provide education and care to children over preschool age up to and including school children, for before school. after school and during school holidays.",130,05/05/2017,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Oct 2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,01/07/2021,No,No,No,Yes,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06:30,08:30,06:30,08:30,06:30,08:30,06:30,08:30,06:30,08:30,NA,NA,NA,NA,14:00:00,18:30:00,14:00:00,18:30:00,14:00:00,18:30:00,14:00:00,18:30:00,14:00:00,18:30:00,NA,NA,NA,NA,06:30:00,18:30:00,06:30:00,18:30:00,06:30:00,18:30:00,06:30:00,18:30:00,06:30:00,18:30:00,NA,NA,NA,NA,No,"198 Pimpama-Jacobs Well Road, PIMPAMA, QLD, 4209","c(153.295062861077, -27.809813841158)",Ormeau,Loganholme station,1.7167957047808764,20.50245677074537
SE-40008598,PR-40010191,Kids Klub Wahroonga,P B & JAY PTY LTD,Centre-Based Care,181 Fox Valley Road,WAHROONGA,NSW,2076,0435378181,NA,NA,80,22/03/2017,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Oct 2024,Working Towards NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Dec 2022,23/09/2021,No,No,No,Yes,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15:00:00,18:00:00,15:00:00,18:00:00,15:00:00,18:00:00,15:00:00,18:00:00,15:00:00,18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,"181 Fox Valley Road, WAHROONGA, NSW, 2076","c(151.095056185077, -33.732052642727)",Normanhurst,"M2 Motorway, Oakes Rd",1.2611381012233125,5.827703992344548
SE-40008607,PR-40011900,ST MARY MULTICULTURAL EARLY LEARNING CENTRE - BLAXLAND RD,NA,Centre-Based Care,71 Blaxland Rd,RHODES,NSW,2138,0297436891,NA,NA,64,24/02/2017,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Jul 2023,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Mar 2018,23/10/2023,Yes,No,No,No,No,No,No,07:00:00,18:00:00,07:00:00,18:00:00,07:00:00,18:00:00,07:00:00,18:00:00,07:00:00,18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,"71 Blaxland Rd, RHODES, NSW, 2138","c(151.088738828473, -33.826180661016)",Rhodes,STA Ryde Depot,0.4947453300517782,3.268525656907696
SE-40008608,PR-40004402,Belgrave South OSHClub,OSHCLUB PTY LTD,Centre-Based Care,175 Colby Dr,BELGRAVE SOUTH,VIC,3160,0437388256,NA,"•	    An approved provider of an education and care service that is listed on the Department of Education & Training Bushfire At-Risk Register must ensure that: 
•	The service does not operate on any day that the Victorian Emergency Management Commissioner declares as having a 'Catastrophic' Fire Danger Rating that applies to the area or district at which that service is located.
•	The service's emergency and evacuation policies and procedures required under regulation 168 of the Education and Care Services National Regulations include an Emergency Management Plan for managing the service's bushfire and grass fire related risks.
•	The service's Emergency Management Plan is kept up to date, reflects the service's operating context, is reviewed at least once each calendar year, and includes:
o	a list of the service's emergency contact details
o	procedures for monitoring and managing bushfire and grassfire risks and events
o	procedures for identifying and managing events that may cause planned, unplanned or pre-emptive closure of the service
o	procedures for notifying families of children enrolled at the service of any closure
o	procedures for reviewing and updating the Emergency Management Plan.
•	A copy of the service's Emergency Management Plan is made available to the Regulatory Authority on request.
",45,25/01/2017,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Jul 2023,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,May 2018,NA,No,No,No,Yes,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,NA,NA,NA,NA,15:30:00,18:00:00,15:30:00,18:00:00,15:30:00,18:00:00,15:30:00,18:00:00,15:30:00,18:00:00,NA,NA,NA,NA,07:00:00,18:00:00,07:00:00,18:00:00,07:00:00,18:00:00,07:00:00,18:00:00,07:00:00,18:00:00,NA,NA,NA,NA,No,"175 Colby Dr, BELGRAVE SOUTH, VIC, 3160","c(145.358733025081, -37.930361152594)",Belgrave,Boronia Station,2.3959043669296016,10.186729012056663
SE-40008611,PR-00000881,St Catherine's Kindergarten,Roman Catholic Trust Corporation for the Diocese of Townsville,Centre-Based Care,96 Renwick Rd,PROSERPINE,QLD,4800,0744262867,NA,This service is approved to provide education and care to children from 36 months up to and including school children.,28,31/03/2017,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Dec 2021,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Jun 2018,NA,Yes,No,Yes,No,No,No,No,07:00:00,18:00:00,07:00:00,18:00:00,07:00:00,18:00:00,07:00:00,18:00:00,07:00:00,18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,07:00:00,18:00:00,07:00:00,18:00:00,07:00:00,18:00:00,07:00:00,18:00:00,07:00:00,18:00:00,NA,NA,NA,NA,No,"96 Renwick Rd, PROSERPINE, QLD, 4800","c(148.589441011698, -20.410046944949)",Proserpine,Townsville City Stop A,1.3758212732572894,225.43020404087088
SE-40008618,PR-00002530,Marmion Primary School OSHC-Extend,Extend (Australia) Pty Ltd,Centre-Based Care,"Marmion Primary School, 7 Cliverton Ct",MARMION,WA,6020,0428125845,NA,"The approved provider must ensure that all children attending the outside school hours care program must be at least 4 years of age by 30 June in the year they attend the program. The approved provider must ensure that only children who are currently enrolled in, and attend or will attend, a school in the current year attend the outside school hours care program. The approved provider is to ensure that at all times children over preschool age require access to and from the toilet facilities, they are accompanied and supervised by a contact staff member.",26,12/01/2017,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Jul 2024,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,May 2018,30/01/2024,No,No,No,Yes,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,07:00,08:45,07:00,08:45,07:00,08:45,07:00,08:45,07:00,08:45,NA,NA,NA,NA,15:00:00,18:00:00,15:00:00,18:00:00,15:00:00,18:00:00,15:00:00,18:00:00,15:00:00,18:00:00,NA,NA,NA,NA,07:00:00,18:00:00,07:00:00,18:00:00,07:00:00,18:00:00,07:00:00,18:00:00,07:00:00,18:00:00,NA,NA,NA,NA,No,"Marmion Primary School, 7 Cliverton Ct, MARMION, WA, 6020","c(115.759490018599, -31.844179994354)",Warwick,Whitfords Bus Terminal,3.4906554762088717,5.48454966783997
SE-40008626,PR-00004036,St Nicholas OOSH The Junction,Trustees of The Roman Catholic Church for the Diocese of Maitland-Newcastle,Centre-Based Care,"St. Joseph's Primary School, Farquhar Street",THE JUNCTION,NSW,2291,0429261660,NA,NA,64,03/02/2017,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Dec 2023,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Mar 2018,13/01/2020,No,No,No,Yes,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06:30,08:45,06:30,08:45,06:30,08:45,06:30,08:45,06:30,08:45,NA,NA,NA,NA,14:45:00,18:00:00,14:45:00,18:00:00,14:45:00,18:00:00,14:45:00,18:00:00,14:45:00,18:00:00,NA,NA,NA,NA,06:30:00,18:00:00,06:30:00,18:00:00,06:30:00,18:00:00,06:30:00,18:00:00,06:30:00,18:00:00,NA,NA,NA,NA,No,"St. Joseph's Primary School, Farquhar Street, THE JUNCTION, NSW, 2291","c(151.7587447, -32.9369851)",Newcastle Interchange,Main Rd after Taylor St,1.4294377365447628,9.446694005891752
SE-40008628,PR-00001578,Hilton Street Preschool,Hume City Council,Centre-Based Care,20 Hilton St,CRAIGIEBURN,VIC,3064,0393081562,NA,NA,33,06/01/2017,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Dec 2023,Exceeding NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Jun 2018,NA,No,No,Yes,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,09:00,14:00,09:00,14:00,NA,NA,09:00,14:00,NA,NA,NA,NA,08:30:00,16:00:00,NA,NA,NA,NA,08:30:00,16:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,"20 Hilton St, CRAIGIEBURN, VIC, 3064","c(144.939464193275, -37.594754443315)",Craigieburn,Highpoint SC,0.8947025189399719,20.375861758485126
SE-40008629,PR-40006995,Niño Early Learning Adventures - Chadstone,CHILDBIZ OPERATIONS PTY LTD,Centre-Based Care,11-15 Chadstone Rd,MALVERN EAST,VIC,3145,03 9086 4800,NA,"The Approved Provider is required to ensure objects are not placed in a manner that may allow a child to climb over barriers or fences; and, all play equipment in the outdoor play spaces are maintained and placed in a way that meets the requirements of the Australian Playground Standards (Standard AS 4685:2014) with particular consideration given to falling space, impact areas and free space. The approved provider must ensure that they incorporate and maintain natural elements and features within outdoor spaces. The approved provider must ensure that at all times children are being educated and cared for, that one additional educator above the minimum prescribed in regulation 123(1) of the Education and Care Services National Regulations 2011 is required to be educating and caring for children to ensure adequate supervision for the use of nappy change and hygiene facilities in child room 3, 5 and 8 (as designated on the plans).",158,05/10/2018,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Jun 2024,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Feb 2020,NA,Yes,No,No,No,No,No,No,07:00:00,18:30:00,07:00:00,18:30:00,07:00:00,18:30:00,07:00:00,18:30:00,07:00:00,18:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,"11-15 Chadstone Rd, MALVERN EAST, VIC, 3145","c(145.078249315302, -37.885597724414)",East Malvern,Glen Waverley Station,1.2590114635340188,7.459032396410079
SE-40008630,PR-00002530,St Thomas Primary School OSHC - Extend,Extend (Australia) Pty Ltd,Centre-Based Care,"St Thomas Primary School, 8 Warden St",CLAREMONT,WA,6010,0870812160,NA,"The approved provider must ensure that only children who are currently enrolled in, and attend or will attend, a school in the current year attend the outside school hours care program.


 The approved provider must ensure that all children attending the outside school hours care program must be at least 4 years of age by 30 June in the year they attend the program.

 The approved provider is to ensure that at all times enrolled children over preschool age require access to and from the toilet facilities, they are accompanied and supervised by a contact staff member.",30,09/02/2017,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Dec 2024,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Mar 2019,NA,No,No,No,Yes,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,07:00,08:45,07:00,08:45,07:00,08:45,07:00,08:45,07:00,08:45,NA,NA,NA,NA,15:00:00,18:00:00,15:00:00,18:00:00,15:00:00,18:00:00,15:00:00,18:00:00,15:00:00,18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,"St Thomas Primary School, 8 Warden St, CLAREMONT, WA, 6010","c(115.788979984722, -31.977469982569)",Showgrounds,Perth Busport,0.20309189756701476,7.114513453236272
SE-40008652,PR-40009134,LA GRANDE RECRE,SCA LATOUCHE NOMINEES PTY. LTD. ATF LATOUCHE FAMILY TRUST,Centre-Based Care,1003 Nepean Hwy,MOORABBIN,VIC,3189,0490488411,NA,NA,20,16/05/2017,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Apr 2023,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Aug 2018,NA,Yes,No,No,No,No,No,No,08:00:00,17:00:00,08:00:00,17:00:00,08:00:00,17:00:00,08:00:00,17:00:00,08:00:00,17:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,"1003 Nepean Hwy, MOORABBIN, VIC, 3189","c(145.037272034696, -37.936009004682)",Moorabbin,Glen Waverley Station,0.18303045325834008,12.698220672423083
SE-40008655,PR-40007833,Little Blessings Early Learning Centre,LITTLE BLESSINGS EARLY LEARNING CENTRE PTY LTD,Centre-Based Care,47 Pacific St,CARINGBAH SOUTH,NSW,2229,02 8070 8000,NA,NA,62,10/02/2017,Exceeding NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Jul 2023,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Nov 2017,NA,Yes,No,No,No,No,No,No,07:00:00,18:00:00,07:00:00,18:00:00,07:00:00,18:00:00,07:00:00,18:00:00,07:00:00,18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,"47 Pacific St, CARINGBAH SOUTH, NSW, 2229","c(151.118361647762, -34.046850732549)",Caringbah,UTS Shuttle Bus,0.7107866455181269,14.137897301374739
SE-40008661,PR-00000898,NurtureOne Holt Children’s Centre,G8 Education Limited,Centre-Based Care,74 Hardwick Cres,HOLT,ACT,2615,0262546607,NA,NA,60,05/06/2017,Working Towards NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Mar 2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,No,No,No,No,No,07:00:00,18:00:00,07:00:00,18:00:00,07:00:00,18:00:00,07:00:00,18:00:00,07:00:00,18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,"74 Hardwick Cres, HOLT, ACT, 2615","c(149.019093461809, -35.21998663676)",Swinden Street,ANU Bus Stop,10.847223818518717,11.563745612694587
SE-40008674,PR-00002539,Camp Australia - The Montessori School - Kingsley OSHC,Camp Australia Pty Limited,Centre-Based Care,"Montessori School, 18 Montessori Pl",KINGSLEY,WA,6026,0417523216,NA,"The Approved Provider must ensure that all staff are familiar with the supervision plan and safety audit for this service. The approved provider must ensure that only children who are currently enrolled in, and attend or will attend, a school in the current year attend the outside school hours care program. The approved provider must ensure that all children attending the outside school hours care program must be at least 4 years of age by 30 June in the year they attend the program. The approved provider is to ensure that at all times enrolled children over preschool age require access to and from the toilet facilities, they are accompanied and supervised by a contact staff member.",25,31/01/2017,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Nov 2024,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Oct 2018,NA,No,No,No,Yes,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,NA,NA,NA,NA,15:00:00,18:00:00,15:00:00,18:00:00,15:00:00,18:00:00,15:00:00,18:00:00,15:00:00,18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,"Montessori School, 18 Montessori Pl, KINGSLEY, WA, 6026","c(115.807780006811, -31.812289995985)",Greenwood,Whitfords Bus Terminal,2.4249358969907355,2.816849478233231
SE-40008681,PR-00005896,New Town Outside School Hours Care,Adventure Patch,Centre-Based Care,"New Town Primary, 36 Forster St",NEW TOWN,TAS,7008,0362294914,0362292260,NA,60,27/01/2017,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Oct 2023,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Jul 2018,NA,No,No,No,Yes,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,07:15,09:00,07:15,09:00,07:15,09:00,07:15,09:00,07:15,09:00,NA,NA,NA,NA,14:45:00,18:15:00,14:45:00,18:15:00,14:45:00,18:15:00,14:45:00,18:15:00,14:45:00,18:15:00,NA,NA,NA,NA,07:15:00,18:15:00,07:15:00,18:15:00,07:15:00,18:15:00,07:15:00,18:15:00,07:15:00,18:15:00,NA,NA,NA,NA,No,"New Town Primary, 36 Forster St, NEW TOWN, TAS, 7008","c(147.30817, -42.85867)",Tasmanian Transport Museum,Metro Springfield,4.106567115062737,2.6330275161931476
SE-40008683,PR-40007242,Kids Active,Kids Active Pty Ltd,Centre-Based Care,19 Furley Rd,SOUTHERN RIVER,WA,6110,NA,NA,"Reduce the maximum number of approved places to 28 during school terms. 
Increase the maximum number of approved places to 32 during vacation care when the service has exclusive use of the Library in addition to the Creative Arts Studio.  The approved provider must ensure that all children attending the outside school hours care program must be at least 4 years of age by 30 June in the year they attend the program. The approved provider must ensure that only children who are currently enrolled in, and attend or will attend, a school in the current year attend the outside school hours care program. The approved provider is to ensure that at all times enrolled children over preschool age require access to and from the toilet facilities, they are accompanied and supervised by a contact staff member.",28,11/04/2017,Working Towards NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,May 2023,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Jun 2018,NA,No,No,No,Yes,Yes,Yes,No,06:30:00,18:00:00,06:30:00,18:00:00,06:30:00,18:00:00,06:30:00,18:00:00,06:30:00,18:00:00,NA,NA,NA,NA,06:30,08:30,06:30,08:30,06:30,08:30,06:30,08:30,06:30,08:30,NA,NA,NA,NA,15:15:00,18:00:00,15:15:00,18:00:00,15:15:00,18:00:00,15:15:00,18:00:00,15:15:00,18:00:00,NA,NA,NA,NA,06:30:00,18:00:00,06:30:00,18:00:00,06:30:00,18:00:00,06:30:00,18:00:00,06:30:00,18:00:00,NA,NA,NA,NA,No,"19 Furley Rd, SOUTHERN RIVER, WA, 6110","c(115.936678841681, -32.099705958785)",Nicholson Road,Transperth Beckenham Bus Depot,4.247256814260469,8.426722384746773
